geneID,Puncta in P1 (2-cell),Puncta in P2 (4-cell),Puncta in P3 (8-cell),Puncta in P4 (28-cell),Pattern consistent with enrichment in Z2/Z3 (100-cell),Group,Additional comments on RNA localization,Group I RNAi results,"avg_mRNA_fpm from Lee et al., 2020","avg_Rb_fpm from Lee et al., 2020",TE (ave_Rb_fpm / avg_mRNA_fpm),WBgene,Embryonic lethality in N2 or rrf-3 (data from Wormbase)
prx-19,-,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),80.079755,91.26409548,1.139665019,WBGene00004201,Embryonic lethal
rilp-1,-,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),24.19336206,13.58292201,0.561431767,WBGene00007860,
rml-1,-,+,+,+,+,Group I,"RNA localizes to puncta in somatic cells, Enrichment in ~100-cell is weak","no F1 worms, could not count sterility in either N2 or grif-1(ax4524)",138.5539084,94.66986578,0.683270987,WBGene00010665,Embryonic lethal
sar-1,-,+,+,+,+,Group I,Enrichment in ~100-cell is weak,"P0 lethality, could not count sterility in either N2 or grif-1(ax4524)",58.41109908,90.29186553,1.545799804,WBGene00022678,
skpt-1,-,+,+,-,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),50.79289608,45.45685976,0.894945224,WBGene00018613,
spn-4,-,+,+,+,+,Group I,RNA localizes to puncta in somatic cells,"embryonic lethality, could not count sterility in either N2 or grif-1(ax4524)",324.7588983,320.1318186,0.985752262,WBGene00004984,Embryonic lethal
spsb-2,-,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),23.63609441,6.682359351,0.282718424,WBGene00021596,
syp-4,-,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),22.26074149,3.914400463,0.17584322,WBGene00019247,
tag-340,-,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),24.05430246,6.602726471,0.274492535,WBGene00017826,
Y110A2AR.1,-,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),40.56256303,6.131021852,0.151149765,WBGene00022452,
abhd-12,-,-,+,-,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),62.53785773,8.446331555,0.135059496,WBGene00022393,
aipl-1,-,-,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),320.0753718,231.8860925,0.724473399,WBGene00010685,
arl-8,-,-,+,-,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),63.23738591,70.86566525,1.120629264,WBGene00000192,Embryonic lethal
clec-88,-,-,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),189.1027425,92.1610166,0.487359492,WBGene00019606,
F21D5.1,-,-,+,+,+,Group I,RNA localizes to puncta in somatic cells,"no F1 worms, could not count sterility in either N2 or grif-1(ax4524)",153.0257215,142.9420812,0.934104932,WBGene00009006,Embryonic lethal
gln-6,-,-,+,-,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),204.7163955,110.8204588,0.541336509,WBGene00001607,Embryonic lethal
inft-2,-,-,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),84.88037513,58.60035071,0.690387509,WBGene00008848,
